Predicted Shock Arrival Time,Difference (hrs),Confidence (%),Submitted On,Lead Time (hrs),Predicted Geomagnetic Storm Parameter(s),Method,Submitted By,CME
"2015-09-08T20:00Z(-7.0h, +7.0h)",18.53,NA,2015-09-05T23:16Z,50.2,Max Kp Range: 2.0 - 4.0,WEC (GSFC SWRC) ,Alexandra Wold (SWRC),2015-09-04T192400-CME-001
"2015-09-09T12:00Z(-12.0h, +12.0h)",34.53,30,2015-09-05T09:14Z,64.23,Max Kp Range: 3.0 - 5.0,SIDC ,Leila Mays (GSFC),2015-09-04T192400-CME-001
2015-09-09T20:15Z,42.78,36.6667,NA,NA,Max Kp Range: 2.75 - 4.75, Average of all Methods ,Auto Generated (CCMC),2015-09-04T192400-CME-001
2015-09-10T02:00Z,48.53,40,2015-09-06T07:39Z,41.82,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2015-09-04T192400-CME-001
2015-09-10T23:00Z,69.53,40,2015-09-07T04:20Z,21.13,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2015-09-04T192400-CME-001
2015-09-20T12:00Z,6.55,NA,2015-09-18T17:10Z,36.28,NA,WEC (Met Office) ,Met Office (Met Office),2015-09-18T043000-CME-001
"2015-09-20T17:14Z(-7.0h, +7.0h)",11.78,NA,2015-09-18T17:44Z,35.72,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Anna Chulaki (CCMC),2015-09-18T043000-CME-001
2015-09-20T21:00Z,15.55,NA,2015-09-19T00:30Z,28.95,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2015-09-18T043000-CME-001
2015-09-20T22:50Z,17.38,20,NA,NA,Max Kp Range: 3.33333 - 5.75, Average of all Methods ,Auto Generated (CCMC),2015-09-18T043000-CME-001
"2015-09-21T07:00Z(-12.0h, +12.0h)",25.55,15,2015-09-19T11:43Z,17.73,Max Kp Range: 2.0 - 5.0,SIDC ,Leila Mays (GSFC),2015-09-18T043000-CME-001
2015-09-21T09:00Z,27.55,25,2015-09-19T06:15Z,23.2,Max Kp Range: 4.0 - 7.0,WEC (Met Office) ,Met Office (Met Office),2015-09-18T043000-CME-001
"2015-09-22T18:00Z(-12.0h, +12.0h)",NA,15,2015-09-20T21:53Z,44.12,Max Kp Range: 2.0 - 7.0,SIDC ,Leila Mays (GSFC),2015-09-20T183000-CME-001
"2015-09-22T19:24Z(-3.38h, +1.5h)",NA,14,2015-09-21T02:45Z,40.65,Max Kp Range: 4.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2015-09-20T183000-CME-001
2015-09-22T21:00Z,NA,NA,2015-09-21T12:30Z,32.5,Max Kp Range: -- - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2015-09-20T183000-CME-001
2015-09-22T21:21Z,NA,16.3333,NA,NA,Max Kp Range: 3.0 - 5.5, Average of all Methods ,Auto Generated (CCMC),2015-09-20T183000-CME-001
"2015-09-23T03:00Z(-6.0h, +6.0h)",NA,20,2015-09-21T15:40Z,35.33,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2015-09-20T183000-CME-001
2015-10-04T09:00Z,NA,NA,2015-09-30T23:28Z,81.53,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2015-09-30T093600-CME-001
2015-10-04T12:00Z,NA,NA,2015-10-01T07:20Z,76.67,Max Kp Range: 4.0 - 6.0,WEC (Met Office) ,Met Office (Met Office),2015-09-30T093600-CME-001
2015-10-04T15:30Z,NA,10,NA,NA,Max Kp Range: 3.5 - 5.33333, Average of all Methods ,Auto Generated (CCMC),2015-09-30T093600-CME-001
"2015-10-04T18:00Z(-7.0h, +7.0h)",NA,NA,2015-09-30T16:09Z,97.85,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2015-09-30T093600-CME-001
"2015-10-04T23:00Z(-12.0h, +12.0h)",NA,10,2015-10-01T07:29Z,87.52,Max Kp Range: 3.0 - 5.0,SIDC ,Leila Mays (GSFC),2015-09-30T093600-CME-001
"2015-10-24T11:49Z(-7.0h, +7.0h)",-6.62,NA,2015-10-22T18:40Z,47.77,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Anna Chulaki (CCMC),2015-10-22T031200-CME-001
"2015-10-24T12:00Z(-12.0h, +12.0h)",-6.43,20,2015-10-22T12:27Z,53.98,Max Kp Range: 3.0 - 6.0,SIDC ,Leila Mays (GSFC),2015-10-22T031200-CME-001
2015-10-24T15:59Z,-2.45,NA,2015-10-23T22:30Z,19.93,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2015-10-22T031200-CME-001
2015-10-24T17:09Z,-1.28,45,NA,NA,Max Kp Range: 3.33333 - 5.5, Average of all Methods ,Auto Generated (CCMC),2015-10-22T031200-CME-001
"2015-10-24T21:00Z(-6.0h, +6.0h)",2.57,70,2015-10-23T00:30Z,41.93,Max Kp Range: 4.0 - 6.0,WEC (Met Office) ,Met Office (Met Office),2015-10-22T031200-CME-001
2015-10-25T01:00Z,6.57,NA,2015-10-22T11:23Z,55.05,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2015-10-22T031200-CME-001
2015-11-06T22:25Z,4.85,NA,2015-11-05T22:06Z,19.47,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2015-11-04T142400-CME-001
2015-11-07T00:00Z,6.43,NA,2015-11-05T13:08Z,28.43,NA,WEC (BoM) ,Leila Mays (GSFC),2015-11-04T142400-CME-001
"2015-11-07T02:26Z(-8.2h, +7.78h)",8.87,100,2015-11-05T01:30Z,40.07,Max Kp Range: 4.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Karin Muglach (GSFC),2015-11-04T142400-CME-001
2015-11-07T03:06Z,9.53,NA,2015-11-05T22:09Z,19.42,NA,SPM ,Xinhua Zhao (NSSC CAS),2015-11-04T142400-CME-001
"2015-11-07T04:00Z(-12.0h, +12.0h)",10.43,50,2015-11-04T21:39Z,43.92,Max Kp Range: 3.0 - 6.0,SIDC ,Yihua Zheng (GSFC),2015-11-04T142400-CME-001
2015-11-07T06:34Z,13,80,NA,NA,Max Kp Range: 4.25 - 5.4, Average of all Methods ,Auto Generated (CCMC),2015-11-04T142400-CME-001
"2015-11-07T08:40Z(-10.0h, +10.0h)",15.1,NA,2015-11-04T21:33Z,44.02,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Yihua Zheng (GSFC),2015-11-04T142400-CME-001
"2015-11-07T13:00Z(-6.0h, +6.0h)",19.43,90,2015-11-05T06:35Z,34.98,Max Kp Range: 6.0 - 4.0,WEC (Met Office) ,Met Office (Met Office),2015-11-04T142400-CME-001
"2015-11-07T14:30Z(-3.5h, +5.5h)",20.93,80,2015-11-05T09:47Z,31.78,NA,DBM ,Manuela Temmer (UNIGRAZ),2015-11-04T142400-CME-001
2015-11-07T15:00Z,21.43,NA,2015-11-05T03:22Z,38.2,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2015-11-04T142400-CME-001
2015-11-11T18:39Z,NA,NA,2015-11-10T22:52Z,19.78,NA,SPM ,Xinhua Zhao (NSSC CAS),2015-11-09T133600-CME-001
2015-11-11T18:53Z,NA,NA,2015-11-10T22:49Z,20.07,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2015-11-09T133600-CME-001
"2015-11-11T20:00Z(-12.0h, +12.0h)",NA,50,2015-11-10T10:24Z,33.6,Max Kp Range: 3.0 - 5.0,SIDC ,Leila Mays (GSFC),2015-11-09T133600-CME-001
"2015-11-11T21:58Z(-7.5h, +5.5h)",NA,54,2015-11-10T16:49Z,29.15,Max Kp Range: 3.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2015-11-09T133600-CME-001
"2015-11-11T22:00Z(-6.0h, +6.0h)",NA,70,2015-11-10T17:15Z,28.75,Max Kp Range: 4.0 - 6.0,WEC (Met Office) ,Met Office (Met Office),2015-11-09T133600-CME-001
2015-11-11T22:33Z,NA,58,NA,NA,Max Kp Range: 3.33333 - 5.5, Average of all Methods ,Auto Generated (CCMC),2015-11-09T133600-CME-001
2015-11-11T23:00Z,NA,NA,2015-11-10T05:23Z,41.62,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2015-11-09T133600-CME-001
2015-11-12T02:00Z,NA,NA,2015-11-12T14:09Z,-12.15,NA,ips.gov.au ,Leila Mays (GSFC),2015-11-09T133600-CME-001
"2015-11-12T06:00Z(-7.0h, +7.0h)",NA,NA,2015-11-10T13:42Z,40.3,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2015-11-09T133600-CME-001
2015-11-18T10:00Z,-9.4,NA,2015-11-17T01:21Z,42.05,Max Kp Range: -- - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2015-11-16T031200-CME-001
2015-11-18T10:00Z,-9.4,NA,2015-11-17T13:08Z,30.27,NA,WEC (BoM) ,Leila Mays (GSFC),2015-11-16T031200-CME-001
"2015-11-18T10:27Z(-4.52h, +5.62h)",-8.95,75,2015-11-16T20:27Z,46.95,Max Kp Range: 3.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2015-11-16T031200-CME-001
