Predicted Shock Arrival Time,Difference (hrs),Confidence (%),Submitted On,Lead Time (hrs),Predicted Geomagnetic Storm Parameter(s),Method,Submitted By,CME
"2016-03-26T22:00Z(-4.0h, +12.0h)",NA,40,2016-03-24T02:10Z,67.83,Max Kp Range: 3.0 - 4.0,WEC (Met Office) ,Met Office (Met Office),2016-03-23T050000-CME-001
2016-04-09T14:00Z,NA,10,2016-04-07T15:23Z,46.62,Max Kp Range: 4.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2016-04-06T140000-CME-001
2016-04-09T15:27Z,NA,NA,2016-04-08T21:55Z,17.53,NA,SPM ,Xinhua Zhao (NSSC CAS),2016-04-06T140000-CME-001
2016-04-09T16:52Z,NA,5,NA,NA,Max Kp Range: 4.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2016-04-06T140000-CME-001
"2016-04-09T18:00Z(-7.0h, +7.0h)",NA,NA,2016-04-08T02:57Z,39.05,NA,WEC (GSFC SWRC) ,Karin Muglach (GSFC),2016-04-06T140000-CME-001
2016-04-09T20:02Z,NA,0,2016-04-08T21:59Z,22.05,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-04-06T140000-CME-001
2016-04-13T04:51Z,-25.98,100,2016-04-12T20:30Z,34.33,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-04-10T110000-CME-001
2016-04-13T12:44Z,-18.1,NA,2016-04-12T20:33Z,34.28,NA,SPM ,Xinhua Zhao (NSSC CAS),2016-04-10T110000-CME-001
2016-04-13T14:00Z,-16.83,NA,2016-04-11T05:07Z,73.72,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2016-04-10T110000-CME-001
"2016-04-13T18:00Z(-12.0h, +6.0h)",-12.83,30,2016-04-11T05:45Z,73.08,Max Kp Range: 4.0 - 6.0,WEC (Met Office) ,Met Office (Met Office),2016-04-10T110000-CME-001
2016-04-13T18:15Z,-12.58,65,NA,NA,Max Kp Range: 4.0 - 5.5, Average of all Methods ,Auto Generated (CCMC),2016-04-10T110000-CME-001
"2016-04-14T00:00Z(-7.0h, +7.0h)",-6.83,NA,2016-04-11T00:54Z,77.93,NA,WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2016-04-10T110000-CME-001
"2016-04-14T12:00Z(-12.0h, +12.0h)",5.17,NA,2016-04-11T12:30Z,66.33,NA,SIDC ,Leila Mays (GSFC),2016-04-10T110000-CME-001
2016-05-05T05:07Z,-34.68,0,2016-05-04T22:55Z,40.88,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-05-02T084200-CME-001
2016-05-06T05:15Z,-10.55,5,NA,NA,Max Kp Range: -- - 5.0, Average of all Methods ,Auto Generated (CCMC),2016-05-02T084200-CME-001
"2016-05-06T10:00Z(-7.0h, +7.0h)",-5.8,NA,2016-05-02T16:01Z,95.78,NA,WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2016-05-02T084200-CME-001
2016-05-06T12:00Z,-3.8,10,2016-05-03T02:52Z,84.93,Max Kp Range: -- - 5.0,WEC (Met Office) ,Met Office (Met Office),2016-05-02T084200-CME-001
2016-05-06T17:54Z,2.1,NA,2016-05-04T22:58Z,40.83,NA,SPM ,Xinhua Zhao (NSSC CAS),2016-05-02T084200-CME-001
"2016-05-18T00:30Z(-5.0h, +5.0h)",NA,80,2016-05-17T07:00Z,17.5,NA,DBM + ESWF ,Manuela Temmer (UNIGRAZ),2016-05-15T153600-CME-001
2016-05-18T08:07Z,NA,100,2016-05-18T07:58Z,0.15,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-05-15T153600-CME-001
"2016-05-18T11:30Z(-12.0h, +12.0h)",NA,30,2016-05-17T10:16Z,25.23,Max Kp Range: 4.0 - 7.0,SIDC ,Leila Mays (GSFC),2016-05-15T153600-CME-001
2016-05-18T11:37Z,NA,70,NA,NA,Max Kp Range: 4.0 - 7.0, Average of all Methods ,Auto Generated (CCMC),2016-05-15T153600-CME-001
2016-05-19T02:22Z,NA,NA,2016-05-18T08:03Z,18.32,NA,SPM ,Xinhua Zhao (NSSC CAS),2016-05-15T153600-CME-001
2016-07-16T04:00Z,NA,NA,2016-07-15T02:00Z,26,Dst min. in nT: -95 Dst min. time: 2016-07-16T13:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2016-06-30T013600-CME-001
2016-07-16T04:00Z,NA,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2016-06-30T013600-CME-001
2016-07-20T04:39Z,5.57,100,2016-07-19T06:44Z,16.35,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-07-17T124800-CME-001
2016-07-20T21:00Z,21.92,NA,2016-07-17T17:22Z,53.72,NA,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2016-07-17T124800-CME-001
"2016-07-20T22:00Z(-6.0h, +6.0h)",22.92,50,2016-07-17T17:00Z,54.08,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2016-07-17T124800-CME-001
"2016-07-20T23:32Z(-9.77h, +11.12h)",24.45,91,2016-07-18T21:13Z,25.87,Max Kp Range: 2.0 - 4.0,Ensemble WEC (GSFC SWRC) ,Karin Muglach (GSFC),2016-07-17T124800-CME-001
"2016-07-21T00:04Z(-7.0h, +7.0h)",24.98,NA,2016-07-18T16:14Z,30.85,Max Kp Range: 3.0 - 6.0,WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2016-07-17T124800-CME-001
2016-07-21T00:51Z,25.77,72.75,NA,NA,Max Kp Range: 2.75 - 5.25, Average of all Methods ,Auto Generated (CCMC),2016-07-17T124800-CME-001
2016-07-21T06:42Z,31.62,NA,2016-07-19T06:49Z,16.27,NA,SPM ,Xinhua Zhao (NSSC CAS),2016-07-17T124800-CME-001
"2016-07-22T00:00Z(-12.0h, +12.0h)",48.92,50,2016-07-18T12:25Z,34.67,Max Kp Range: 3.0 - 6.0,SIDC ,Leila Mays (GSFC),2016-07-17T124800-CME-001
2016-07-23T06:00Z,NA,20,NA,NA,Max Kp Range: 3.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2016-07-20T231200-CME-001
"2016-07-23T06:00Z(-12.0h, +12.0h)",NA,20,2016-07-22T07:20Z,22.67,Max Kp Range: 3.0 - 5.0,SIDC ,Leila Mays (GSFC),2016-07-20T231200-CME-001
2016-07-23T12:00Z,NA,NA,2016-07-21T14:00Z,46,Dst min. in nT: -57 Dst min. time: 2016-07-24T01:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2016-07-20T020000-CME-001
2016-07-23T12:00Z,NA,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2016-07-20T020000-CME-001
2016-07-25T21:00Z,NA,15,NA,NA,Max Kp Range: 2.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2016-07-23T052400-CME-001
"2016-07-25T21:00Z(-12.0h, +12.0h)",NA,15,2016-07-24T06:58Z,38.03,Max Kp Range: 2.0 - 5.0,SIDC ,Leila Mays (GSFC),2016-07-23T052400-CME-001
"2016-08-01T12:00Z(-7.0h, +7.0h)",-23.38,NA,2016-07-29T16:53Z,90.5,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2016-07-28T222400-CME-001
2016-08-02T00:00Z,-11.38,46.5,NA,NA,Max Kp Range: 3.66667 - 5.33333, Average of all Methods ,Auto Generated (CCMC),2016-07-28T222400-CME-001
"2016-08-02T00:00Z(-12.0h, +12.0h)",-11.38,60,2016-07-30T05:45Z,77.63,Max Kp Range: 4.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2016-07-28T222400-CME-001
"2016-08-02T12:00Z(-12.0h, +12.0h)",0.62,33,2016-07-29T13:55Z,93.47,Max Kp Range: 3.0 - 5.0,SIDC ,Leila Mays (GSFC),2016-07-28T222400-CME-001
2016-10-12T04:39Z,-16.7,0,2016-10-12T03:45Z,17.6,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-10-09T020000-CME-001
"2016-10-13T00:00Z(-6.0h, +6.0h)",2.65,40,2016-10-10T11:00Z,58.35,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2016-10-09T020000-CME-001
2016-10-13T13:03Z,15.7,26.6667,NA,NA,Max Kp Range: 3.5 - 5.33333, Average of all Methods ,Auto Generated (CCMC),2016-10-09T020000-CME-001
2016-10-13T16:00Z,18.65,NA,2016-10-09T17:06Z,76.25,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2016-10-09T020000-CME-001
"2016-10-13T22:00Z(-12.0h, +12.0h)",24.65,40,2016-10-10T13:53Z,55.47,Max Kp Range: 4.0 - 6.0,SIDC ,Leila Mays (GSFC),2016-10-09T020000-CME-001
"2016-10-14T00:00Z(-7.0h, +7.0h)",26.65,NA,2016-10-10T14:39Z,54.7,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2016-10-09T020000-CME-001
2016-10-14T11:44Z,38.38,NA,2016-10-12T03:43Z,17.63,NA,SPM ,Xinhua Zhao (NSSC CAS),2016-10-09T020000-CME-001
2016-10-23T23:00Z,NA,NA,2016-10-21T07:24Z,63.6,NA,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2016-10-20T143600-CME-001
2016-10-23T23:00Z,NA,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2016-10-20T143600-CME-001
"2016-11-08T00:00Z(-9.0h, +6.0h)",-29.47,40,2016-11-06T01:00Z,76.47,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2016-11-05T044800-CME-001
2016-11-08T10:00Z,-19.47,NA,2016-11-06T00:30Z,76.97,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Barbara Thompson (GSFC),2016-11-05T044800-CME-001
2016-11-08T11:15Z,-18.22,57.5,NA,NA,Max Kp Range: 3.5 - 5.33333, Average of all Methods ,Auto Generated (CCMC),2016-11-05T044800-CME-001
"2016-11-08T16:00Z(-7.0h, +7.0h)",-13.47,NA,2016-11-05T17:52Z,83.6,NA,WEC (GSFC SWRC) ,Karin Muglach (GSFC),2016-11-05T044800-CME-001
"2016-11-08T19:00Z(-12.0h, +12.0h)",-10.47,75,2016-11-06T11:10Z,66.3,Max Kp Range: 4.0 - 6.0,SIDC ,Leila Mays (GSFC),2016-11-05T044800-CME-001
"2017-03-24T00:00Z(-7.0h, +7.0h)",15.15,NA,2017-03-20T14:57Z,65.9,NA,WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2017-03-19T182400-CME-001
2017-03-24T09:00Z,24.15,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2017-03-19T182400-CME-001
2017-03-24T18:00Z,33.15,NA,2017-03-20T17:37Z,63.23,NA,WEC (Met Office) ,Met Office (Met Office),2017-03-19T182400-CME-001
2017-04-05T10:00Z,NA,NA,NA,NA,Max Kp Range: 3.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2017-04-01T221200-CME-001
"2017-04-05T10:00Z(-12.0h, +12.0h)",NA,NA,2017-04-02T13:07Z,68.88,Max Kp Range: 3.0 - 5.0,SIDC ,Leila Mays (GSFC),2017-04-01T221200-CME-001
2017-04-21T03:53Z,-7.45,20,2017-04-19T08:52Z,50.47,Max Kp Range: 4.0 - 6.0,SIDC ,Yaireska Collado (GSFC),2017-04-18T194800-CME-001
2017-04-21T03:53Z,-7.45,20,NA,NA,Max Kp Range: 4.0 - 6.0, Average of all Methods ,Auto Generated (CCMC),2017-04-18T194800-CME-001
2017-05-03T15:00Z,-26.5,30,NA,NA,Max Kp Range: 3.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2017-04-30T104000-CME-001
"2017-05-03T15:00Z(-9.0h, +9.0h)",-26.5,30,2017-04-30T22:10Z,91.33,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2017-04-30T104000-CME-001
2017-05-09T02:00Z,NA,60,NA,NA,Max Kp Range: 3.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2017-05-04T213000-CME-001
"2017-05-09T02:00Z(-9.0h, +6.0h)",NA,60,2017-05-06T01:00Z,73,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2017-05-04T213000-CME-001
2017-05-16T17:00Z,NA,NA,2017-05-14T19:21Z,45.65,Max Kp Range: -- - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2017-05-13T220000-CME-001
"2017-05-17T00:00Z(-4.0h, +15.0h)",NA,60,2017-05-14T14:07Z,57.88,Max Kp Range: 4.0 - 6.0,WEC (Met Office) ,Met Office (Met Office),2017-05-13T220000-CME-001
2017-05-17T06:15Z,NA,50,NA,NA,Max Kp Range: 3.5 - 5.33333, Average of all Methods ,Auto Generated (CCMC),2017-05-13T220000-CME-001
"2017-05-17T12:00Z(-7.0h, +7.0h)",NA,NA,2017-05-14T19:35Z,64.42,NA,WEC (GSFC SWRC) ,Alexandra Wold (SWRC),2017-05-13T220000-CME-001
"2017-05-17T20:00Z(-12.0h, +12.0h)",NA,40,2017-05-15T13:50Z,54.17,Max Kp Range: 3.0 - 4.0,SIDC ,Leila Mays (GSFC),2017-05-13T220000-CME-001
"2017-05-26T12:00Z(-12.0h, +12.0h)",-26.78,20,2017-05-24T13:24Z,73.38,Max Kp Range: 3.0 - 5.0,SIDC ,Yaireska Collado (GSFC),2017-05-23T060000-CME-001
2017-05-26T15:00Z,-23.78,NA,2017-05-24T08:20Z,78.45,Max Kp Range: 3.0 - 6.0,WEC (Met Office) ,Met Office (Met Office),2017-05-23T060000-CME-001
"2017-05-26T18:00Z(-7.0h, +7.0h)",-20.78,NA,2017-05-23T21:18Z,89.48,Max Kp Range: 2.0 - 4.0,WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2017-05-23T060000-CME-001
2017-05-27T01:49Z,-12.97,20,NA,NA,Max Kp Range: 2.75 - 5.0, Average of all Methods ,Auto Generated (CCMC),2017-05-23T060000-CME-001
"2017-05-27T15:00Z(-12.0h, +12.0h)",0.22,20,2017-05-25T13:42Z,49.08,Max Kp Range: 3.0 - 5.0,SIDC ,Leila Mays (GSFC),2017-05-23T060000-CME-001
"2017-05-27T21:07Z(-4.0h, +4.0h)",6.33,NA,2017-05-25T09:23Z,53.4,NA,EAM,Evangelos Paouris (UoA),2017-05-23T060000-CME-001
"2017-07-02T19:30Z(-7.0h, +7.0h)",27.07,NA,2017-06-29T17:45Z,46.68,NA,WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2017-06-28T162400-CME-001
"2017-07-02T21:00Z(-18.0h, +18.0h)",28.57,70,2017-06-29T08:22Z,56.07,Max Kp Range: 3.0 - 6.0,WEC (Met Office) ,Met Office (Met Office),2017-06-28T162400-CME-001
2017-07-03T02:20Z,33.9,70,NA,NA,Max Kp Range: 3.0 - 6.0, Average of all Methods ,Auto Generated (CCMC),2017-06-28T162400-CME-001
"2017-07-03T04:50Z(-3.5h, +3.5h)",36.4,NA,2017-06-30T09:40Z,30.77,NA,EAM,Evangelos Paouris (UoA),2017-06-28T162400-CME-001
"2017-07-03T12:00Z(-12.0h, +12.0h)",43.57,NA,2017-06-29T10:02Z,54.4,NA,SIDC ,Yaireska Collado (GSFC),2017-06-28T162400-CME-001
"2017-07-16T08:48Z(-5.0h, +5.0h)",3.57,NA,2017-07-14T20:20Z,32.9,NA,EAM,Evangelos Paouris (UoA),2017-07-14T013600-CME-001
2017-07-16T08:53Z,3.65,NA,2017-07-14T15:50Z,37.4,NA,SARM ,Marlon Nunez (UMA),2017-07-14T013600-CME-001
"2017-07-16T12:00Z(-12.0h, +12.0h)",6.77,NA,2017-07-14T12:50Z,40.4,Max Kp Range: -- - 5.0,SIDC ,Leila Mays (GSFC),2017-07-14T013600-CME-001
2017-07-16T14:27Z,9.22,93.5,NA,NA,Max Kp Range: 3.0 - 5.6, Average of all Methods ,Auto Generated (CCMC),2017-07-14T013600-CME-001
2017-07-16T15:00Z,9.77,90,2017-07-14T13:20Z,39.9,Max Kp Range: 4.0 - 7.0,WEC (Met Office) ,Met Office (Met Office),2017-07-14T013600-CME-001
"2017-07-16T16:51Z(-12.2h, +11.75h)",11.62,97,2017-07-14T18:47Z,34.45,Max Kp Range: 3.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2017-07-14T013600-CME-001
2017-07-16T18:00Z,12.77,NA,2017-07-14T09:25Z,43.82,Max Kp Range: -- - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2017-07-14T013600-CME-001
"2017-07-16T21:42Z(-7.0h, +7.0h)",16.47,NA,2017-07-14T13:29Z,39.75,Max Kp Range: 2.0 - 5.0,WEC (GSFC SWRC) ,Barbara Thompson (GSFC),2017-07-14T013600-CME-001
2017-09-01T06:00Z,NA,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2017-08-28T183900-CME-001
"2017-09-01T06:00Z(-7.0h, +7.0h)",NA,NA,2017-08-29T15:35Z,62.42,NA,WEC (GSFC SWRC) ,Hayley Austin (CCMC),2017-08-28T183900-CME-001
"2017-09-06T06:45Z(-4.0h, +4.0h)",-16.38,NA,2017-09-05T09:40Z,37.47,NA,EAM,Evangelos Paouris (UoA),2017-09-04T203600-CME-001
"2017-09-06T12:00Z(-8.0h, +8.0h)",-11.13,90,2017-09-05T08:42Z,38.43,Max Kp Range: 5.0 - 8.0,SIDC ,Yaireska Collado (GSFC),2017-09-04T203600-CME-001
"2017-09-06T14:51Z(-7.0h, +7.0h)",-8.28,NA,2017-09-05T01:38Z,45.5,Max Kp Range: 5.0 - 7.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2017-09-04T203600-CME-001
2017-09-06T17:07Z,-6.02,NA,2017-09-05T02:27Z,44.68,NA,SARM ,Marlon Nunez (UMA),2017-09-04T203600-CME-001
2017-09-06T18:00Z,-5.13,NA,2017-09-05T12:30Z,34.63,Max Kp Range: 5.0 - 7.0,WEC (NOAA/SWPC) ,Yaireska Collado (GSFC),2017-09-04T203600-CME-001
2017-09-06T21:57Z,-1.18,82.25,NA,NA,Max Kp Range: 4.75 - 7.125, Average of all Methods ,Auto Generated (CCMC),2017-09-04T203600-CME-001
2017-09-06T22:00Z,-1.13,NA,2017-09-08T17:00Z,-41.87,NA,WEC (BoM) ,Yaireska Collado (GSFC),2017-09-04T203600-CME-001
"2017-09-06T22:00Z(-6.0h, +6.0h)",-1.13,70,2017-09-05T14:45Z,32.38,Max Kp Range: 5.0 - 8.0,WEC (Met Office) ,Met Office (Met Office),2017-09-04T203600-CME-001
"2017-09-07T03:45Z(-7.0h, +7.0h)",4.62,NA,2017-09-05T19:34Z,27.57,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Barbara Thompson (GSFC),2017-09-04T203600-CME-001
2017-09-07T06:00Z,6.87,NA,2017-09-05T08:44Z,38.4,Max Kp Range: 5.0 - 7.0,BGS ,Yaireska Collado (GSFC),2017-09-04T203600-CME-001
2017-09-07T06:00Z,6.87,NA,2017-09-07T15:22Z,-16.23,Max Kp Range: 5.0 - 7.0,BGS ,Yaireska Collado (GSFC),2017-09-04T203600-CME-001
"2017-09-07T06:00Z(-6.0h, +6.0h)",6.87,80,2017-09-05T10:20Z,36.8,NA,DBM + ESWF ,Manuela Temmer (UNIGRAZ),2017-09-04T203600-CME-001
"2017-09-07T09:02Z(-8.1h, +14.1h)",9.9,89,2017-09-05T20:31Z,26.62,Max Kp Range: 4.0 - 7.0,Ensemble WEC (GSFC SWRC) ,Barbara Thompson (GSFC),2017-09-04T203600-CME-001
"2017-09-08T06:00Z(-2.0h, +2.0h)",7.5,NA,2017-09-07T16:30Z,6,NA,Ooty IPS ,Aleksandre Taktakishvili (GSFC),2017-09-06T122400-CME-001
"2017-09-08T06:00Z(-3.0h, +3.0h)",7.5,80,2017-09-07T05:00Z,17.5,Max Kp Range: 5.0 - 8.0,WEC (Met Office) ,Met Office (Met Office),2017-09-06T122400-CME-001
"2017-09-08T07:32Z(-5.0h, +6.0h)",9.03,NA,2017-09-07T08:33Z,13.95,NA,DBM ,Mateja Dumbovic (UNIGRAZ),2017-09-06T122400-CME-001
"2017-09-08T08:00Z(-3.0h, +3.0h)",9.5,70,2017-09-07T05:40Z,16.83,NA,DBM + ESWF ,Manuela Temmer (UNIGRAZ),2017-09-06T122400-CME-001
"2017-09-08T10:16Z(-4.0h, +4.0h)",11.77,NA,2017-09-07T09:00Z,13.5,NA,EAM,Evangelos Paouris (UoA),2017-09-06T122400-CME-001
2017-09-08T10:25Z,11.92,NA,2017-09-07T02:13Z,20.28,NA,SARM ,Marlon Nunez (UMA),2017-09-06T122400-CME-001
2017-09-08T10:42Z,12.2,NA,2017-09-07T15:55Z,6.58,NA,SPM ,Xinhua Zhao (NSSC CAS),2017-09-06T122400-CME-001
2017-09-08T12:46Z,14.27,84,NA,NA,Max Kp Range: 4.33333 - 6.5, Average of all Methods ,Auto Generated (CCMC),2017-09-06T122400-CME-001
"2017-09-08T13:00Z(-7.0h, +7.0h)",14.5,90,2017-09-07T08:25Z,14.08,Max Kp Range: 5.0 - 7.0, NSSC SEPC ,Jingjing Wang (NSSC SEPC),2017-09-06T122400-CME-001
2017-09-08T13:52Z,15.37,NA,2017-09-07T15:46Z,6.73,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2017-09-06T122400-CME-001
"2017-09-08T15:48Z(-9.0h, +10.0h)",17.3,100,2017-09-07T14:53Z,7.62,Max Kp Range: 4.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Hayley Austin (CCMC),2017-09-06T122400-CME-001
2017-09-08T16:00Z,17.5,NA,2017-09-09T12:59Z,-38.48,NA,WEC (BoM) ,Yaireska Collado (GSFC),2017-09-06T122400-CME-001
2017-09-08T16:30Z(+14.0h),18,NA,2017-09-07T12:32Z,9.97,NA, ElEvo ,Tanja Amerstorfer (SRI),2017-09-06T122400-CME-001
"2017-09-08T17:00Z(-12.0h, +12.0h)",18.5,80,2017-09-06T22:40Z,23.83,Max Kp Range: 4.0 - 6.0,SIDC ,Yaireska Collado (GSFC),2017-09-06T122400-CME-001
"2017-09-08T18:27Z(-7.0h, +7.0h)",19.95,NA,2017-09-06T17:23Z,29.12,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Barbara Thompson (GSFC),2017-09-06T122400-CME-001
2017-09-08T22:00Z,23.5,NA,2017-09-06T23:24Z,23.1,Max Kp Range: 5.0 - 7.0,WEC (NOAA/SWPC) ,Yaireska Collado (GSFC),2017-09-06T122400-CME-001
"2017-09-11T12:00Z(-12.0h, +12.0h)",-31.43,NA,2017-09-11T08:29Z,34.95,NA,SIDC ,Leila Mays (GSFC),2017-09-10T160000-CME-001
"2017-09-12T01:30Z(-3.0h, +3.0h)",-17.93,NA,2017-09-11T14:29Z,28.95,NA,Ooty IPS ,Aleksandre Taktakishvili (GSFC),2017-09-10T160000-CME-001
"2017-09-12T05:00Z(-7.0h, +7.0h)",-14.43,70,2017-09-11T08:54Z,34.53,Max Kp Range: 4.0 - 6.0, NSSC SEPC ,Jingjing Wang (NSSC SEPC),2017-09-10T160000-CME-001
"2017-09-12T07:00Z(-12.0h, +12.0h)",-12.43,60,2017-09-11T12:07Z,31.32,Max Kp Range: 5.0 - 7.0,WEC (Met Office) ,Met Office (Met Office),2017-09-10T160000-CME-001
"2017-09-12T08:00Z(-7.0h, +7.0h)",-11.43,50,2017-09-11T14:16Z,29.17,Max Kp Range: 3.0 - 5.0,SIDC ,Leila Mays (GSFC),2017-09-10T160000-CME-001
2017-09-12T14:49Z,-4.62,48.25,NA,NA,Max Kp Range: 3.75 - 5.6, Average of all Methods ,Auto Generated (CCMC),2017-09-10T160000-CME-001
"2017-09-12T16:06Z(-5.4h, +7.7h)",-3.33,13,2017-09-11T16:28Z,26.97,Max Kp Range: 3.0 - 4.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2017-09-10T160000-CME-001
"2017-09-13T02:00Z(-7.0h, +7.0h)",6.57,NA,2017-09-11T09:42Z,33.73,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2017-09-10T160000-CME-001
"2017-09-13T02:34Z(-6.0h, +6.0h)",7.13,NA,2017-09-11T11:35Z,31.85,NA,EAM,Evangelos Paouris (UoA),2017-09-10T160000-CME-001
"2017-09-13T04:00Z(-7.0h, +7.0h)",8.57,NA,2017-09-10T20:04Z,47.37,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2017-09-10T160000-CME-001
2017-09-13T18:00Z,22.57,NA,2017-09-11T03:25Z,40.02,Max Kp Range: -- - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2017-09-10T160000-CME-001
"2017-10-19T18:12Z(-7.0h, +7.0h)",-32.8,NA,2017-10-18T16:43Z,58.28,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2017-10-18T070000-CME-001
2017-10-19T20:00Z,-31,NA,2017-10-18T16:36Z,58.4,NA,WEC (Met Office) ,Met Office (Met Office),2017-10-18T070000-CME-001
2017-10-19T21:44Z,-29.27,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2017-10-18T070000-CME-001
2017-10-20T03:00Z,-24,NA,2017-10-18T21:40Z,53.33,NA,SARM ,Marlon Nunez (UMA),2017-10-18T070000-CME-001
2017-11-28T02:00Z,NA,NA,2017-11-26T01:30Z,48.5,NA,WEC (KSWC) ,RWC Jeju (KSWC),2017-11-25T074000-CME-001
2017-11-28T20:21Z,NA,25,NA,NA,Max Kp Range: 3.0 - 4.5, Average of all Methods ,Auto Generated (CCMC),2017-11-25T074000-CME-001
"2017-11-28T22:00Z(-12.0h, +12.0h)",NA,20,2017-11-26T11:44Z,58.27,Max Kp Range: 3.0 - 4.0,SIDC ,Yaireska Collado (GSFC),2017-11-25T074000-CME-001
"2017-11-29T00:00Z(-7.0h, +7.0h)",NA,NA,2017-11-25T20:28Z,75.53,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2017-11-25T074000-CME-001
2017-11-29T01:28Z,NA,NA,2017-11-29T13:19Z,-11.85,NA, Other ,Jiajia Liu (UoS),2017-11-25T074000-CME-001
2017-11-29T03:05Z,NA,30,2017-11-27T10:05Z,41,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2017-11-25T074000-CME-001
"2017-12-19T21:00Z(-12.0h, +12.0h)",NA,20,2017-12-16T16:00Z,77,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2017-12-15T153000-CME-001
"2017-12-20T00:00Z(-12.0h, +12.0h)",NA,20,2017-12-16T12:30Z,83.5,Max Kp Range: 2.0 - 4.0,SIDC ,Leila Mays (GSFC),2017-12-15T153000-CME-001
2017-12-20T05:30Z,NA,16.6667,NA,NA,Max Kp Range: 2.5 - 4.5, Average of all Methods ,Auto Generated (CCMC),2017-12-15T153000-CME-001
2017-12-20T07:00Z,NA,NA,2017-12-16T09:30Z,93.5,NA,WEC (KSWC) ,RWC Jeju (KSWC),2017-12-15T153000-CME-001
"2017-12-20T18:00Z(-7.0h, +7.0h)",NA,10,2017-12-15T23:51Z,114.15,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2017-12-15T153000-CME-001
2018-02-14T05:00Z,-26.63,NA,2018-02-13T11:13Z,44.42,NA,WEC (KSWC) ,RWC Jeju (KSWC),2018-02-12T012500-CME-001
2018-02-14T09:00Z,-22.63,NA,2018-02-12T19:21Z,60.28,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2018-02-12T012500-CME-001
